congress,bill_number,bill_type,bill_subject
116,28,hconres,Commemorative events and holidays
116,28,hconres,Manufacturing
116,54,hconres,Congressional committees
116,54,hconres,Congressional operations and organization
116,54,hconres,Congressional oversight
116,54,hconres,Employee benefits and pensions
116,54,hconres,Government information and archives
116,54,hconres,Legislative rules and procedure
116,18,hconres,Census and government statistics
116,18,hconres,Congressional tributes
116,18,hconres,International law and treaties
116,18,hconres,Marshall Islands
116,18,hconres,Military personnel and dependents
116,46,hconres,Child health
116,46,hconres,Child safety and welfare
116,46,hconres,Commemorative events and holidays
116,46,hconres,Family relationships
116,46,hconres,Firearms and explosives
116,46,hconres,Health personnel
116,46,hconres,Health promotion and preventive care
116,41,hconres,Air quality
116,41,hconres,Climate change and greenhouse gases
116,41,hconres,Energy prices
116,41,hconres,Oil and gas
116,41,hconres,Sales and excise taxes
116,41,hconres,User charges and fees
116,108,hconres,Asia
116,108,hconres,China
116,108,hconres,Criminal procedure and sentencing
116,108,hconres,Hong Kong
116,108,hconres,Immigration status and procedures
116,108,hconres,International law and treaties
116,108,hconres,Judicial procedure and administration
116,108,hconres,"Sovereignty, recognition, national governance and status"
116,44,hconres,"Art, artists, authorship"
116,44,hconres,Congressional tributes
116,44,hconres,U.S. Capitol
116,44,hconres,U.S. history
116,44,hconres,Voting rights
116,44,hconres,Women's rights
116,98,hconres,Assault and harassment offenses
116,98,hconres,Commemorative events and holidays
116,98,hconres,Elementary and secondary education
116,98,hconres,Higher education
116,98,hconres,"Sex, gender, sexual orientation discrimination"
116,98,hconres,State and local government operations
116,98,hconres,"Teaching, teachers, curricula"
116,110,hconres,Asia
116,110,hconres,Budget deficits and national debt
116,110,hconres,China
116,110,hconres,Foreign loans and debt
116,110,hconres,Securities
116,2,hconres,Advisory bodies
116,2,hconres,Congressional agencies
116,2,hconres,Congressional committees
116,2,hconres,Congressional operations and organization
116,2,hconres,Executive agency funding and structure
116,2,hconres,Office of the U.S. Trade Representative
116,2,hconres,Trade agreements and negotiations
116,102,hconres,Cardiovascular and respiratory health
116,102,hconres,Commemorative events and holidays
116,102,hconres,Congressional tributes
116,102,hconres,Emergency medical services and trauma care
116,102,hconres,First responders and emergency personnel
116,102,hconres,Health personnel
116,102,hconres,Health promotion and preventive care
116,102,hconres,Infectious and parasitic diseases
116,102,hconres,Monuments and memorials
116,102,hconres,National symbols
116,102,hconres,Religion
116,102,hconres,Transportation employees
116,48,hconres,Commemorative events and holidays
116,48,hconres,Health promotion and preventive care
116,48,hconres,Medical tests and diagnostic methods
116,30,hconres,Employment discrimination and employee rights
116,30,hconres,Labor standards
116,30,hconres,"Sex, gender, sexual orientation discrimination"
116,30,hconres,Wages and earnings
116,30,hconres,Women's employment
116,50,hconres,Africa
116,50,hconres,Arab-Israeli relations
116,50,hconres,Conflicts and wars
116,50,hconres,Foreign aid and international relief
116,50,hconres,Human rights
116,50,hconres,Iran
116,50,hconres,Iraq
116,50,hconres,Israel
116,50,hconres,Marine and inland water transportation
116,50,hconres,Middle East
116,50,hconres,Political movements and philosophies
116,50,hconres,Racial and ethnic relations
116,50,hconres,Religion
116,50,hconres,"Sovereignty, recognition, national governance and status"
116,50,hconres,Terrorism
116,50,hconres,"War crimes, genocide, crimes against humanity"
116,50,hconres,Yemen
116,11,hconres,Constitution and constitutional amendments
116,11,hconres,"Elections, voting, political campaign regulation"
116,11,hconres,First Amendment rights
116,11,hconres,Supreme Court
116,36,hconres,Air quality
116,36,hconres,Alternative and renewable resources
116,36,hconres,Buy American requirements
116,36,hconres,Climate change and greenhouse gases
116,36,hconres,Computer security and identity theft
116,36,hconres,Economic development
116,36,hconres,Electric power generation and transmission
116,36,hconres,Employee hiring
116,36,hconres,Energy efficiency and conservation
116,36,hconres,Environmental regulatory procedures
116,36,hconres,Income tax rates
116,36,hconres,Infrastructure development
116,36,hconres,Labor standards
116,36,hconres,Medicaid
116,36,hconres,Medicare
116,36,hconres,Minority employment
116,36,hconres,Natural disasters
116,36,hconres,Oil and gas
116,36,hconres,Public contracts and procurement
116,36,hconres,Racial and ethnic relations
116,36,hconres,Roads and highways
116,36,hconres,Rural conditions and development
116,36,hconres,"Sex, gender, sexual orientation discrimination"
116,36,hconres,Social security and elderly assistance
116,36,hconres,Transportation programs funding
116,36,hconres,Transportation safety and security
116,36,hconres,Urban and suburban affairs and development
116,36,hconres,"Veterans' education, employment, rehabilitation"
116,36,hconres,Wages and earnings
116,36,hconres,Water quality
116,36,hconres,Worker safety and health
116,112,hconres,Advisory bodies
116,112,hconres,Congressional operations and organization
116,112,hconres,Congressional oversight
116,112,hconres,"Government employee pay, benefits, personnel management"
116,112,hconres,Government studies and investigations
116,112,hconres,Minority employment
116,112,hconres,Racial and ethnic relations
116,12,hconres,Military history
116,12,hconres,Military personnel and dependents
116,12,hconres,Postal service
116,12,hconres,Racial and ethnic relations
116,12,hconres,U.S. history
116,12,hconres,Veterans' organizations and recognition
116,97,hconres,Asia
116,97,hconres,Cardiovascular and respiratory health
116,97,hconres,China
116,97,hconres,Congressional committees
116,97,hconres,Congressional operations and organization
116,97,hconres,Congressional oversight
116,97,hconres,Emergency medical services and trauma care
116,97,hconres,Foreign aid and international relief
116,97,hconres,Freedom of information
116,97,hconres,"Government ethics and transparency, public corruption"
116,97,hconres,Government information and archives
116,97,hconres,Health promotion and preventive care
116,97,hconres,"Health technology, devices, supplies"
116,97,hconres,Infectious and parasitic diseases
116,97,hconres,International organizations and cooperation
116,97,hconres,Manufacturing
116,97,hconres,Public contracts and procurement
116,97,hconres,"Social work, volunteer service, charitable organizations"
116,97,hconres,World health
116,109,hconres,Agricultural education
116,109,hconres,Commemorative events and holidays
116,109,hconres,Higher education
116,109,hconres,Minority education
116,55,hconres,Department of Health and Human Services
116,55,hconres,Health care costs and insurance
116,55,hconres,Marketing and advertising
116,55,hconres,Medicaid
116,55,hconres,Medicare
116,55,hconres,Prescription drugs
116,60,hconres,Commemorative events and holidays
116,60,hconres,Crime victims
116,60,hconres,District of Columbia
116,60,hconres,First responders and emergency personnel
116,60,hconres,Members of Congress
116,60,hconres,Military personnel and dependents
116,60,hconres,National and community service
116,60,hconres,National symbols
116,60,hconres,New York City
116,60,hconres,Pennsylvania
116,60,hconres,"Social work, volunteer service, charitable organizations"
116,60,hconres,Terrorism
116,60,hconres,Virginia
116,117,hconres,Asia
116,117,hconres,China
116,117,hconres,Congressional tributes
116,117,hconres,"Diplomacy, foreign officials, Americans abroad"
116,117,hconres,Free trade and trade barriers
116,117,hconres,Human rights
116,117,hconres,International organizations and cooperation
116,117,hconres,"Sovereignty, recognition, national governance and status"
116,117,hconres,Taiwan
116,117,hconres,Trade agreements and negotiations
116,117,hconres,United Nations
116,17,hconres,Border security and unlawful immigration
116,17,hconres,Child safety and welfare
116,17,hconres,Department of Homeland Security
116,17,hconres,Detention of persons
116,17,hconres,Emergency medical services and trauma care
116,17,hconres,"Government employee pay, benefits, personnel management"
116,17,hconres,Health care coverage and access
116,17,hconres,Immigrant health and welfare
116,17,hconres,Immigration status and procedures
116,51,hconres,Business records
116,51,hconres,Congressional oversight
116,51,hconres,Constitution and constitutional amendments
116,51,hconres,"Government ethics and transparency, public corruption"
116,51,hconres,"Presidents and presidential powers, Vice Presidents"
116,113,hconres,"Art, artists, authorship"
116,113,hconres,Congressional tributes
116,113,hconres,Historical and cultural resources
116,113,hconres,Music
116,113,hconres,Texas
116,120,hconres,Congressional tributes
116,120,hconres,Marine and inland water transportation
116,120,hconres,Military facilities and property
116,118,hconres,Athletes
116,118,hconres,Legislative rules and procedure
116,118,hconres,Olympic games
116,15,hconres,Air quality
116,15,hconres,Climate change and greenhouse gases
116,15,hconres,International law and treaties
116,15,hconres,International organizations and cooperation
116,95,hconres,Adoption and foster care
116,95,hconres,Family relationships
116,95,hconres,State and local government operations
116,94,hconres,"Art, artists, authorship"
116,94,hconres,Congressional tributes
116,94,hconres,Florida
116,94,hconres,Racial and ethnic relations
116,94,hconres,"Teaching, teachers, curricula"
116,94,hconres,U.S. Capitol
116,94,hconres,Women's education
116,94,hconres,Women's rights
116,80,hconres,Building construction
116,80,hconres,Disability and paralysis
116,80,hconres,"Government buildings, facilities, and property"
116,80,hconres,State and local government operations
116,73,hconres,Commemorative events and holidays
116,73,hconres,Congressional tributes
116,73,hconres,Health personnel
116,64,hconres,Commemorative events and holidays
116,64,hconres,Congressional tributes
116,64,hconres,Corporation for National and Community Service
116,64,hconres,National and community service
116,64,hconres,"Social work, volunteer service, charitable organizations"
116,61,hconres,Commemorative events and holidays
116,61,hconres,Constitution and constitutional amendments
116,61,hconres,Elementary and secondary education
116,61,hconres,National symbols
116,61,hconres,U.S. history
116,100,hconres,Commemorative events and holidays
116,100,hconres,Human rights
116,100,hconres,Monuments and memorials
116,100,hconres,Racial and ethnic relations
116,100,hconres,U.S. history
116,62,hconres,Congressional officers and employees
116,62,hconres,Congressional oversight
116,62,hconres,"Government employee pay, benefits, personnel management"
116,62,hconres,"Government ethics and transparency, public corruption"
116,62,hconres,Government information and archives
116,62,hconres,Wages and earnings
116,77,hconres,Congressional oversight
116,77,hconres,Middle East
116,77,hconres,Military operations and strategy
116,77,hconres,"Presidents and presidential powers, Vice Presidents"
116,77,hconres,Syria
116,77,hconres,War and emergency powers
116,29,hconres,Athletes
116,29,hconres,Professional sports
116,29,hconres,Wages and earnings
116,29,hconres,Women's rights
116,8,hconres,Employment and training programs
116,8,hconres,Health personnel
116,8,hconres,Medical education
116,8,hconres,Prescription drugs
116,85,hconres,Budget process
116,85,hconres,Elementary and secondary education
116,85,hconres,National Aeronautics and Space Administration
116,85,hconres,Research administration and funding
116,85,hconres,Science and engineering education
116,85,hconres,Space flight and exploration
116,85,hconres,Spacecraft and satellites
116,47,hconres,Commemorative events and holidays
116,47,hconres,Congressional tributes
116,47,hconres,National Aeronautics and Space Administration
116,47,hconres,Space flight and exploration
116,47,hconres,U.S. history
116,43,hconres,Animal protection and human-animal relationships
116,43,hconres,Congressional tributes
116,43,hconres,Firearms and explosives
116,43,hconres,House of Representatives
116,43,hconres,Law enforcement administration and funding
116,43,hconres,Mammals
116,43,hconres,Members of Congress
116,43,hconres,Military operations and strategy
116,43,hconres,Military personnel and dependents
116,43,hconres,North Carolina
116,43,hconres,Service animals
116,43,hconres,"Veterans' education, employment, rehabilitation"
116,43,hconres,Veterans' medical care
116,123,hconres,Conflicts and wars
116,123,hconres,Congressional oversight
116,123,hconres,Middle East
116,123,hconres,Military operations and strategy
116,123,hconres,"Presidents and presidential powers, Vice Presidents"
116,123,hconres,Saudi Arabia
116,123,hconres,United Arab Emirates
116,123,hconres,War and emergency powers
116,123,hconres,Yemen
116,76,hconres,Employment discrimination and employee rights
116,76,hconres,Racial and ethnic relations
116,76,hconres,"Sex, gender, sexual orientation discrimination"
116,76,hconres,Wages and earnings
116,76,hconres,Women's employment
116,70,hconres,Conflicts and wars
116,70,hconres,Middle East
116,70,hconres,Military operations and strategy
116,70,hconres,Syria
116,70,hconres,War and emergency powers
116,71,hconres,Animal protection and human-animal relationships
116,71,hconres,Mammals
116,71,hconres,Meat
116,71,hconres,Trade restrictions
116,71,hconres,World health
116,38,hconres,Alliances
116,38,hconres,Arms control and nonproliferation
116,38,hconres,Asia
116,38,hconres,China
116,38,hconres,"Diplomacy, foreign officials, Americans abroad"
116,38,hconres,International law and treaties
116,38,hconres,International organizations and cooperation
116,38,hconres,Military operations and strategy
116,38,hconres,Nuclear weapons
116,38,hconres,Russia
116,79,hconres,Home and outpatient care
116,79,hconres,"Long-term, rehabilitative, and terminal care"
116,33,hconres,Commemorative events and holidays
116,33,hconres,Congressional tributes
116,33,hconres,Emergency communications systems
116,33,hconres,First responders and emergency personnel
116,14,hconres,"Diplomacy, foreign officials, Americans abroad"
116,14,hconres,Libraries and archives
116,14,hconres,Military history
116,14,hconres,"Museums, exhibitions, cultural centers"
116,14,hconres,U.S. history
116,14,hconres,Virginia
116,115,hconres,Commemorative events and holidays
116,115,hconres,Crime victims
116,115,hconres,District of Columbia
116,115,hconres,First responders and emergency personnel
116,115,hconres,Members of Congress
116,115,hconres,Military personnel and dependents
116,115,hconres,National and community service
116,115,hconres,National symbols
116,115,hconres,New York City
116,115,hconres,Pennsylvania
116,115,hconres,"Social work, volunteer service, charitable organizations"
116,115,hconres,Terrorism
116,115,hconres,Virginia
116,35,hconres,Air quality
116,35,hconres,Climate change and greenhouse gases
116,84,hconres,Assault and harassment offenses
116,84,hconres,Child safety and welfare
116,84,hconres,Commemorative events and holidays
116,84,hconres,Elementary and secondary education
116,84,hconres,School administration
116,84,hconres,"Sex, gender, sexual orientation discrimination"
116,84,hconres,"Teaching, teachers, curricula"
116,124,hconres,Commemorative events and holidays
116,124,hconres,Congressional tributes
116,124,hconres,Health personnel
116,59,hconres,Employment discrimination and employee rights
116,59,hconres,Racial and ethnic relations
116,59,hconres,"Sex, gender, sexual orientation discrimination"
116,59,hconres,Wages and earnings
116,59,hconres,Women's employment
116,52,hconres,Air quality
116,52,hconres,Climate change and greenhouse gases
116,52,hconres,Economic performance and conditions
116,52,hconres,Industrial policy and productivity
116,89,hconres,Administrative law and regulatory procedures
116,89,hconres,Air quality
116,89,hconres,Climate change and greenhouse gases
116,89,hconres,"Environmental assessment, monitoring, research"
116,89,hconres,Environmental regulatory procedures
116,89,hconres,Infrastructure development
116,69,hconres,Athletes
116,69,hconres,Commemorative events and holidays
116,69,hconres,Congressional tributes
116,69,hconres,Oregon
116,69,hconres,Professional sports
116,6,hconres,Congressional operations and organization
116,6,hconres,"Presidents and presidential powers, Vice Presidents"
116,122,hconres,Employment discrimination and employee rights
116,122,hconres,Racial and ethnic relations
116,122,hconres,"Sex, gender, sexual orientation discrimination"
116,122,hconres,Wages and earnings
116,122,hconres,Women's employment
116,10,hconres,Cemeteries and funerals
116,10,hconres,Conflicts and wars
116,10,hconres,Congressional tributes
116,10,hconres,Military history
116,10,hconres,Military personnel and dependents
116,10,hconres,U.S. Capitol
116,111,hconres,Congressional oversight
116,111,hconres,Evidence and witnesses
116,111,hconres,"Government ethics and transparency, public corruption"
116,111,hconres,"Presidents and presidential powers, Vice Presidents"
116,104,hconres,Asia
116,104,hconres,China
116,104,hconres,Criminal procedure and sentencing
116,104,hconres,Hong Kong
116,104,hconres,Immigration status and procedures
116,104,hconres,International law and treaties
116,104,hconres,Judicial procedure and administration
116,104,hconres,"Sovereignty, recognition, national governance and status"
116,5,hconres,Caribbean area
116,5,hconres,Congressional tributes
116,5,hconres,Haiti
116,5,hconres,Immigration status and procedures
116,5,hconres,Latin America
116,5,hconres,Natural disasters
116,58,hconres,Abortion
116,58,hconres,Commemorative events and holidays
116,58,hconres,Family planning and birth control
116,58,hconres,Foreign aid and international relief
116,121,hconres,Asia
116,121,hconres,China
116,121,hconres,Computer security and identity theft
116,121,hconres,"Diplomacy, foreign officials, Americans abroad"
116,121,hconres,Military operations and strategy
116,20,hconres,"Broadcasting, cable, digital technologies"
116,20,hconres,Music
116,20,hconres,Sound recording
116,20,hconres,"Tax administration and collection, taxpayers"
116,20,hconres,Telecommunication rates and fees
116,20,hconres,User charges and fees
116,63,hconres,Administrative law and regulatory procedures
116,63,hconres,Drug therapy
116,63,hconres,Home and outpatient care
116,63,hconres,Medicare
116,90,hconres,Commemorative events and holidays
116,90,hconres,Law enforcement officers
116,90,hconres,"Museums, exhibitions, cultural centers"
116,90,hconres,U.S. Capitol
116,39,hconres,Alliances
116,39,hconres,Arms control and nonproliferation
116,39,hconres,Asia
116,39,hconres,China
116,39,hconres,"Diplomacy, foreign officials, Americans abroad"
116,39,hconres,Europe
116,39,hconres,International law and treaties
116,39,hconres,International organizations and cooperation
116,39,hconres,Military operations and strategy
116,39,hconres,Nuclear weapons
116,39,hconres,Russia
116,67,hconres,Commemorative events and holidays
116,67,hconres,Conflicts and wars
116,67,hconres,"Diplomacy, foreign officials, Americans abroad"
116,114,hconres,Agricultural education
116,114,hconres,Agricultural research
116,114,hconres,Commemorative events and holidays
116,114,hconres,Congressional tributes
116,114,hconres,Education programs funding
116,114,hconres,Higher education
116,114,hconres,Minority education
116,119,hconres,Air quality
116,119,hconres,Child health
116,119,hconres,Child safety and welfare
116,119,hconres,Climate change and greenhouse gases
116,119,hconres,Economic performance and conditions
116,119,hconres,Environmental health
116,119,hconres,Protest and dissent
116,3,hconres,Foreign aid and international relief
116,56,hconres,Cosmetics and personal care
116,56,hconres,Postal service
116,56,hconres,Small business
116,56,hconres,Women in business
116,4,hconres,Africa
116,4,hconres,Conflicts and wars
116,4,hconres,"Elections, voting, political campaign regulation"
116,4,hconres,Foreign aid and international relief
116,4,hconres,Human rights
116,4,hconres,International organizations and cooperation
116,4,hconres,Law enforcement administration and funding
116,4,hconres,Nigeria
116,4,hconres,Political parties and affiliation
116,4,hconres,"Refugees, asylum, displaced persons"
116,4,hconres,Religion
116,4,hconres,"Sovereignty, recognition, national governance and status"
116,22,hconres,Congressional operations and organization
116,22,hconres,Drug trafficking and controlled substances
116,22,hconres,"Drug, alcohol, tobacco use"
116,22,hconres,"Government employee pay, benefits, personnel management"
116,22,hconres,"Government ethics and transparency, public corruption"
116,22,hconres,Government information and archives
116,22,hconres,Legislative rules and procedure
116,22,hconres,Members of Congress
116,23,hconres,Arms control and nonproliferation
116,23,hconres,International law and treaties
116,23,hconres,Middle East
116,23,hconres,Nuclear power
116,23,hconres,Saudi Arabia
116,23,hconres,Trade agreements and negotiations
116,23,hconres,Trade restrictions
116,42,hconres,Conflicts and wars
116,42,hconres,International organizations and cooperation
116,42,hconres,Military personnel and dependents
116,42,hconres,Trade agreements and negotiations
116,37,hconres,Commemorative events and holidays
116,37,hconres,Congressional tributes
116,37,hconres,First responders and emergency personnel
116,68,hconres,Accounting and auditing
116,68,hconres,Congressional committees
116,68,hconres,Congressional operations and organization
116,68,hconres,Congressional oversight
116,68,hconres,Executive agency funding and structure
116,68,hconres,Government Accountability Office (GAO)
116,68,hconres,"Government ethics and transparency, public corruption"
116,68,hconres,Government studies and investigations
116,68,hconres,House Committee on the Budget
116,68,hconres,Legislative rules and procedure
116,68,hconres,Senate Committee on the Budget
116,116,hconres,Administrative remedies
116,116,hconres,Advanced technology and technological innovations
116,116,hconres,Asia
116,116,hconres,China
116,116,hconres,Congressional committees
116,116,hconres,Congressional oversight
116,116,hconres,Education of the disadvantaged
116,116,hconres,Education programs funding
116,116,hconres,Employee hiring
116,116,hconres,Employment and training programs
116,116,hconres,Europe
116,116,hconres,Government studies and investigations
116,116,hconres,Higher education
116,116,hconres,Infrastructure development
116,116,hconres,International scientific cooperation
116,116,hconres,Internet and video services
116,116,hconres,"Internet, web applications, social media"
116,116,hconres,Research ethics
116,116,hconres,Rural conditions and development
116,116,hconres,Russia
116,116,hconres,Science and engineering education
116,116,hconres,Student aid and college costs
116,116,hconres,Tax reform and tax simplification
116,26,hconres,"Art, artists, authorship"
116,26,hconres,"Diplomacy, foreign officials, Americans abroad"
116,26,hconres,Europe
116,26,hconres,Greece
116,26,hconres,Historical and cultural resources
116,26,hconres,United Kingdom
116,101,hconres,Congressional tributes
116,101,hconres,"Elections, voting, political campaign regulation"
116,101,hconres,"Government ethics and transparency, public corruption"
116,101,hconres,Guyana
116,101,hconres,Human rights
116,101,hconres,International organizations and cooperation
116,101,hconres,Rule of law and government transparency
116,101,hconres,"Sovereignty, recognition, national governance and status"
116,99,hconres,Commemorative events and holidays
116,99,hconres,Congressional tributes
116,99,hconres,First responders and emergency personnel
116,93,hconres,Congressional tributes
116,93,hconres,Lawyers and legal services
116,93,hconres,Minority education
116,93,hconres,Racial and ethnic relations
116,93,hconres,U.S. history
116,74,hconres,Air quality
116,74,hconres,Alternative and renewable resources
116,74,hconres,Architect of the Capitol
116,74,hconres,Building construction
116,74,hconres,Climate change and greenhouse gases
116,74,hconres,District of Columbia
116,74,hconres,Electric power generation and transmission
116,74,hconres,Energy efficiency and conservation
116,74,hconres,"Government buildings, facilities, and property"
116,74,hconres,International organizations and cooperation
116,74,hconres,U.S. Capitol
116,103,hconres,Commemorative events and holidays
116,103,hconres,Health promotion and preventive care
116,103,hconres,Medical tests and diagnostic methods
116,49,hconres,California
116,49,hconres,Congressional tributes
116,49,hconres,Criminal procedure and sentencing
116,49,hconres,Fires
116,49,hconres,Military facilities and property
116,49,hconres,Military history
116,49,hconres,Military law
116,49,hconres,Military personnel and dependents
116,49,hconres,Racial and ethnic relations
116,65,hconres,Administrative law and regulatory procedures
116,65,hconres,Air quality
116,65,hconres,Alternative and renewable resources
116,65,hconres,Climate change and greenhouse gases
116,65,hconres,Energy efficiency and conservation
116,65,hconres,Environmental Protection Agency (EPA)
116,65,hconres,Environmental health
116,65,hconres,Environmental regulatory procedures
116,65,hconres,Intergovernmental relations
116,65,hconres,Motor fuels
116,65,hconres,Motor vehicles
116,65,hconres,Oil and gas
116,65,hconres,State and local government operations
116,78,hconres,Cardiovascular and respiratory health
116,78,hconres,Commemorative events and holidays
116,78,hconres,Congressional tributes
116,78,hconres,Elementary and secondary education
116,78,hconres,Foreign aid and international relief
116,78,hconres,HIV/AIDS
116,78,hconres,Health care coverage and access
116,78,hconres,Health programs administration and funding
116,78,hconres,Health promotion and preventive care
116,78,hconres,Human rights
116,78,hconres,Infectious and parasitic diseases
116,78,hconres,Medical research
116,78,hconres,Medical tests and diagnostic methods
116,78,hconres,News media and reporting
116,78,hconres,Research administration and funding
116,78,hconres,State and local government operations
116,78,hconres,Women's rights
116,78,hconres,World health
116,34,hconres,Assault and harassment offenses
116,34,hconres,Commemorative events and holidays
116,34,hconres,Elementary and secondary education
116,34,hconres,Higher education
116,34,hconres,"Sex, gender, sexual orientation discrimination"
116,34,hconres,State and local government operations
116,34,hconres,"Teaching, teachers, curricula"
116,126,hconres,Canada
116,126,hconres,Dams and canals
116,126,hconres,"Diplomacy, foreign officials, Americans abroad"
116,126,hconres,International law and treaties
116,126,hconres,Lakes and rivers
116,126,hconres,Water use and supply
116,13,hconres,Congressional tributes
116,13,hconres,Minority health
116,13,hconres,Racial and ethnic relations
116,13,hconres,Veterans' medical care
116,13,hconres,Veterans' organizations and recognition
116,66,hconres,Animal protection and human-animal relationships
116,66,hconres,International organizations and cooperation
116,66,hconres,Mammals
116,66,hconres,Meat
116,66,hconres,Nutrition and diet
116,27,hconres,"Life, casualty, property insurance"
116,27,hconres,"Social work, volunteer service, charitable organizations"
116,27,hconres,Tax-exempt organizations
116,88,hconres,Agricultural conservation and pollution
116,88,hconres,Agricultural equipment and machinery
116,88,hconres,Agricultural marketing and promotion
116,88,hconres,Agricultural practices and innovations
116,88,hconres,"Agricultural prices, subsidies, credit"
116,88,hconres,Agricultural trade
116,88,hconres,Air quality
116,88,hconres,Alaska Natives and Hawaiians
116,88,hconres,Climate change and greenhouse gases
116,88,hconres,Competition and antitrust
116,88,hconres,Congressional tributes
116,88,hconres,Farmland
116,88,hconres,Food industry and services
116,88,hconres,"Food supply, safety, and labeling"
116,88,hconres,Foreign and international corporations
116,88,hconres,General agriculture matters
116,88,hconres,Indian lands and resources rights
116,88,hconres,Land use and conservation
