Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate
G. Donnarumma,Gianluigi Donnarumma,88,92,103500000,GK,GK,Italy,https://cdn.sofifa.net/players/230/621/23_60.png,23,196,90,1375,478,Paris Saint-Germain,110000,199200000,GK,2026,99,2021,-,Right,3,1,3,Italy,https://cdn.sofifa.net/flags/it.png,GK,21,Medium,Medium
Bernardo Silva,Bernardo Mota Carvalho e Silva,88,88,97500000,"CAM,CM",CAM,Portugal,https://cdn.sofifa.net/players/218/667/23_60.png,27,173,64,2185,460,Manchester City,260000,180400000,RW,2025,20,2017,-,Left,3,4,2,Portugal,https://cdn.sofifa.net/flags/pt.png,CM,10,High,High
João Cancelo,João Pedro Cavaco Cancelo,88,88,82500000,"LB,RB",LB,Portugal,https://cdn.sofifa.net/players/210/514/23_60.png,28,182,74,2262,482,Manchester City,250000,152600000,LB,2027,7,2019,-,Right,4,4,3,Portugal,https://cdn.sofifa.net/flags/pt.png,RB,20,High,Medium
Marquinhos,Marcos Aoás Corrêa,88,90,92000000,CB,CB,Brazil,https://cdn.sofifa.net/players/207/865/23_60.png,28,183,75,2082,453,Paris Saint-Germain,170000,177100000,CB,2024,5,2013,-,Right,3,3,3,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,High
K. Navas,Keylor Navas,88,88,10000000,GK,GK,Costa Rica,https://cdn.sofifa.net/players/193/041/23_60.png,35,185,80,1428,478,Paris Saint-Germain,85000,18500000,SUB,2024,1,2019,-,Right,3,1,3,-,-,-,-,Medium,Medium
M. ter Stegen,Marc-André ter Stegen,88,89,68500000,GK,GK,Germany,https://cdn.sofifa.net/players/192/448/23_60.png,30,187,85,1443,480,FC Barcelona,210000,145600000,GK,2025,1,2014,-,Right,4,1,4,Germany,https://cdn.sofifa.net/flags/de.png,SUB,12,Medium,Medium
T. Kroos,Toni Kroos,88,88,72000000,CM,CM,Germany,https://cdn.sofifa.net/players/182/521/23_60.png,32,183,76,2147,444,Real Madrid CF,310000,147600000,CM,2023,8,2014,-,Right,5,3,4,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium
L. Modrić,Luka Modrić,88,88,29000000,CM,CM,Croatia,https://cdn.sofifa.net/players/177/003/23_60.png,36,172,66,2257,464,Real Madrid CF,230000,59500000,CM,2023,10,2012,-,Right,4,4,4,Croatia,https://cdn.sofifa.net/flags/hr.png,CM,10,Medium,Medium
A. Rüdiger,Antonio Rüdiger,87,88,73500000,CB,CB,Germany,https://cdn.sofifa.net/players/205/452/23_60.png,29,190,85,2011,444,Real Madrid CF,250000,156200000,CB,2026,22,2022,-,Right,3,2,2,Germany,https://cdn.sofifa.net/flags/de.png,CB,2,High,High
Rodri,Rodrigo Hernández Cascante,87,89,88500000,CDM,CDM,Spain,https://cdn.sofifa.net/players/231/866/23_60.png,26,191,82,2133,454,Manchester City,200000,170400000,CDM,2027,16,2019,-,Right,4,3,3,Spain,https://cdn.sofifa.net/flags/es.png,SUB,16,Medium,High
Fabinho,Fábio Henrique Tavares,87,88,77000000,"CDM,CB",CDM,Brazil,https://cdn.sofifa.net/players/209/499/23_60.png,28,188,78,2165,459,Liverpool,185000,148200000,CDM,2026,3,2018,-,Right,2,3,3,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,High
H. Lloris,Hugo Lloris,87,87,9000000,GK,GK,France,https://cdn.sofifa.net/players/167/948/23_60.png,35,188,82,1399,478,Tottenham Hotspur,80000,17100000,GK,2024,1,2012,-,Left,1,1,4,France,https://cdn.sofifa.net/flags/fr.png,GK,1,Medium,Medium
T. Müller,Thomas Müller,87,87,63000000,"CAM,CF",CAM,Germany,https://cdn.sofifa.net/players/189/596/23_60.png,32,185,76,2140,443,FC Bayern München,115000,104000000,CAM,2024,25,2008,-,Right,4,3,4,Germany,https://cdn.sofifa.net/flags/de.png,CAM,13,High,High
De Gea,David De Gea Quintana,87,87,42000000,GK,GK,Spain,https://cdn.sofifa.net/players/193/080/23_60.png,31,192,76,1415,468,Manchester United,150000,79800000,GK,2023,1,2011,-,Right,3,1,4,Spain,https://cdn.sofifa.net/flags/es.png,SUB,1,Medium,Medium
M. Verratti,Marco Verratti,87,87,77500000,"CM,CAM",CM,Italy,https://cdn.sofifa.net/players/199/556/23_60.png,29,165,60,2189,444,Paris Saint-Germain,155000,143400000,CM,2024,6,2012,-,Right,4,4,3,Italy,https://cdn.sofifa.net/flags/it.png,CM,6,Medium,High
M. Maignan,Mike Maignan,87,90,80000000,GK,GK,France,https://cdn.sofifa.net/players/215/698/23_60.png,26,191,89,1496,477,AC Milan,90000,142000000,GK,2026,16,2021,-,Right,4,1,2,France,https://cdn.sofifa.net/flags/fr.png,SUB,16,Medium,Medium
T. Alexander-Arnold,Trent Alexander-Arnold,87,90,100500000,RB,CM,England,https://cdn.sofifa.net/players/231/281/23_60.png,23,180,69,2234,467,Liverpool,150000,193500000,RB,2025,66,2015,-,Right,4,3,3,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium
A. Robertson,Andrew Robertson,87,87,72000000,LB,LB,Scotland,https://cdn.sofifa.net/players/216/267/23_60.png,28,178,64,2154,461,Liverpool,185000,133199999,LB,2026,26,2017,-,Left,2,3,3,Scotland,https://cdn.sofifa.net/flags/gb-sct.png,LWB,3,High,High
K. Koulibaly,Kalidou Koulibaly,87,87,54500000,CB,CB,Senegal,https://cdn.sofifa.net/players/201/024/23_60.png,31,187,89,1789,415,Chelsea,175000,100800000,CB,2026,26,2022,-,Right,4,2,3,-,-,-,-,Medium,High
L. Goretzka,Leon Goretzka,87,88,91000000,"CM,CDM",CM,Germany,https://cdn.sofifa.net/players/209/658/23_60.png,27,189,82,2312,492,FC Bayern München,115000,157000000,CDM,2026,8,2018,-,Right,4,3,4,Germany,https://cdn.sofifa.net/flags/de.png,SUB,8,High,Medium
F. de Jong,Frenkie de Jong,87,92,116500000,CM,CM,Netherlands,https://cdn.sofifa.net/players/228/702/23_60.png,25,180,74,2238,479,FC Barcelona,230000,247600000,CM,2026,21,2019,-,Right,3,4,3,Netherlands,https://cdn.sofifa.net/flags/nl.png,CDM,21,High,Medium
Thiago,Thiago Alcântara,86,86,55500000,CM,CM,Spain,https://cdn.sofifa.net/players/189/509/23_60.png,31,174,70,2225,451,Liverpool,180000,102700000,CM,2024,6,2020,-,Right,3,5,3,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium
C. Immobile,Ciro Immobile,86,86,55000000,ST,ST,Italy,https://cdn.sofifa.net/players/192/387/23_60.png,32,185,85,2060,434,Lazio,100000,93500000,ST,2025,17,2016,-,Right,4,3,4,Italy,https://cdn.sofifa.net/flags/it.png,ST,17,High,Medium
R. Lukaku,Romelu Lukaku,86,86,68000000,ST,ST,Belgium,https://cdn.sofifa.net/players/192/505/23_60.png,29,191,94,2034,437,Inter,200000,0,ST,2023,90,2021,TRUE,Left,4,3,4,Belgium,https://cdn.sofifa.net/flags/be.png,ST,9,Medium,Low
D. Alaba,David Alaba,86,86,55500000,CB,CB,Austria,https://cdn.sofifa.net/players/197/445/23_60.png,30,180,78,2277,475,Real Madrid CF,220000,113800000,CB,2026,4,2021,-,Left,4,3,4,Austria,https://cdn.sofifa.net/flags/at.png,LB,8,Medium,Medium
R. Sterling,Raheem Sterling,86,86,72500000,"LW,RW",LW,England,https://cdn.sofifa.net/players/202/652/23_60.png,27,170,69,2102,446,Chelsea,195000,134100000,ST,2027,17,2022,-,Right,3,4,4,England,https://cdn.sofifa.net/flags/gb-eng.png,LW,7,High,Medium
R. Mahrez,Riyad Mahrez,86,86,56500000,"RW,RM",RW,Algeria,https://cdn.sofifa.net/players/204/485/23_60.png,31,179,67,2063,432,Manchester City,220000,104500000,SUB,2025,26,2018,-,Left,4,5,3,-,-,-,-,Medium,Medium
P. Dybala,Paulo Dybala,86,86,69500000,"CF,CAM",CAM,Argentina,https://cdn.sofifa.net/players/211/110/23_60.png,28,177,75,2108,439,Roma,130000,118200000,RF,2025,21,2022,-,Left,3,4,3,Argentina,https://cdn.sofifa.net/flags/ar.png,SUB,21,High,Low
Thiago Silva,Thiago Emiliano da Silva,86,86,12000000,CB,CB,Brazil,https://cdn.sofifa.net/players/164/240/23_60.png,37,183,79,2012,411,Chelsea,115000,22200000,CB,2023,6,2020,-,Right,3,2,4,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,High
W. Szczęsny,Wojciech Szczęsny,86,86,33500000,GK,GK,Poland,https://cdn.sofifa.net/players/186/153/23_60.png,32,195,90,1314,462,Juventus,125000,57000000,RES,2024,1,2017,-,Right,3,1,3,Poland,https://cdn.sofifa.net/flags/pl.png,GK,1,Medium,Medium
K. Trapp,Kevin Trapp,86,86,36000000,GK,GK,Germany,https://cdn.sofifa.net/players/188/943/23_60.png,31,189,84,1252,463,Eintracht Frankfurt,43000,61200000,GK,2024,1,2019,-,Right,4,1,3,Germany,https://cdn.sofifa.net/flags/de.png,SUB,22,Medium,Medium
Bruno Fernandes,Bruno Miguel Borges Fernandes,86,86,72500000,"CAM,CM",CAM,Portugal,https://cdn.sofifa.net/players/212/198/23_60.png,27,179,69,2305,470,Manchester United,190000,137800000,CAM,2026,8,2020,-,Right,3,4,3,Portugal,https://cdn.sofifa.net/flags/pt.png,CM,11,High,High
Parejo,Daniel Parejo Muñoz,86,86,42000000,CM,CM,Spain,https://cdn.sofifa.net/players/189/513/23_60.png,33,182,74,2162,442,Villarreal CF,64000,88200000,CM,2024,10,2020,-,Right,4,3,2,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium
A. Laporte,Aymeric Laporte,86,87,64500000,CB,CB,Spain,https://cdn.sofifa.net/players/212/218/23_60.png,28,191,85,1962,417,Manchester City,195000,124200000,CB,2025,14,2018,-,Left,3,2,3,Spain,https://cdn.sofifa.net/flags/es.png,CB,15,Medium,Medium
K. Coman,Kingsley Coman,86,87,80000000,LM,LM,France,https://cdn.sofifa.net/players/213/345/23_60.png,26,179,75,1979,426,FC Bayern München,105000,138000000,RM,2027,11,2015,-,Right,3,5,4,France,https://cdn.sofifa.net/flags/fr.png,RM,11,Medium,Medium
M. Brozović,Marcelo Brozović,86,86,58000000,"CDM,CM",CDM,Croatia,https://cdn.sofifa.net/players/216/352/23_60.png,29,181,68,2227,464,Inter,110000,95700000,CDM,2026,77,2016,-,Right,4,3,3,Croatia,https://cdn.sofifa.net/flags/hr.png,CDM,11,Medium,Medium
N. Barella,Nicolò Barella,86,89,89500000,CM,CM,Italy,https://cdn.sofifa.net/players/224/232/23_60.png,25,172,68,2296,480,Inter,110000,154400000,CM,2026,23,2020,-,Right,3,3,3,Italy,https://cdn.sofifa.net/flags/it.png,CM,18,High,High
L. Martínez,Lautaro Martínez,86,90,98500000,ST,ST,Argentina,https://cdn.sofifa.net/players/231/478/23_60.png,24,174,72,2163,455,Inter,110000,169900000,ST,2026,10,2018,-,Right,4,4,3,Argentina,https://cdn.sofifa.net/flags/ar.png,ST,22,High,Medium
M. Škriniar,Milan Škriniar,86,87,68500000,CB,CB,Slovakia,https://cdn.sofifa.net/players/232/363/23_60.png,27,188,80,1861,419,Inter,105000,118200000,CB,2023,37,2017,-,Right,3,2,3,-,-,-,-,Low,High
C. Nkunku,Christopher Nkunku,86,89,94000000,"CF,CAM,ST",CAM,France,https://cdn.sofifa.net/players/232/411/23_60.png,24,175,73,2196,471,RB Leipzig,90000,166900000,CAM,2024,18,2019,-,Right,3,5,3,France,https://cdn.sofifa.net/flags/fr.png,SUB,12,High,Medium
É. Mendy,Édouard Mendy,86,87,51000000,GK,GK,Senegal,https://cdn.sofifa.net/players/234/642/23_60.png,30,197,86,1225,454,Chelsea,130000,98200000,GK,2025,16,2020,-,Right,2,1,2,-,-,-,-,Medium,Medium
Vinícius Jr.,Vinícius José de Oliveira Júnior,86,92,109000000,LW,LW,Brazil,https://cdn.sofifa.net/players/238/794/23_60.png,21,176,73,1985,434,Real Madrid CF,200000,245300000,LW,2025,20,2018,-,Right,4,5,2,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium
S. Milinković-Savić,Sergej Milinković-Savić,86,87,77500000,CM,CM,Serbia,https://cdn.sofifa.net/players/223/848/23_60.png,27,191,76,2250,477,Lazio,90000,137600000,CM,2024,21,2015,-,Right,5,4,3,-,-,-,-,High,Medium
N. Süle,Niklas Süle,85,87,59000000,"CB,RB",CB,Germany,https://cdn.sofifa.net/players/212/190/23_60.png,26,195,99,1839,412,Borussia Dortmund,72000,104700000,SUB,2026,25,2022,-,Right,3,3,3,Germany,https://cdn.sofifa.net/flags/de.png,CB,15,Medium,Medium
N. Fekir,Nabil Fekir,85,85,54500000,CAM,CAM,France,https://cdn.sofifa.net/players/216/594/23_60.png,28,173,75,2126,452,Real Betis Balompié,48000,114500000,CAM,2026,8,2019,-,Left,4,4,3,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium
S. Gnabry,Serge Gnabry,85,85,59000000,RM,RM,Germany,https://cdn.sofifa.net/players/206/113/23_60.png,26,176,77,2058,442,FC Bayern München,100000,97400000,SUB,2026,7,2017,-,Right,4,4,4,Germany,https://cdn.sofifa.net/flags/de.png,SUB,10,High,Medium
İ. Gündoğan,İlkay Gündoğan,85,85,44000000,"CM,CDM",CM,Germany,https://cdn.sofifa.net/players/186/942/23_60.png,31,180,80,2195,458,Manchester City,185000,81400000,CM,2023,8,2016,-,Right,4,4,3,Germany,https://cdn.sofifa.net/flags/de.png,CDM,21,High,Medium
K. Walker,Kyle Walker,85,85,37500000,RB,RB,England,https://cdn.sofifa.net/players/188/377/23_60.png,32,183,83,2196,471,Manchester City,170000,69400000,RB,2024,2,2017,-,Right,2,3,3,England,https://cdn.sofifa.net/flags/gb-eng.png,RB,2,High,High
P. Aubameyang,Pierre-Emerick Aubameyang,85,85,34500000,ST,ST,Gabon,https://cdn.sofifa.net/players/188/567/23_60.png,33,187,80,2028,428,Chelsea,180000,63800000,SUB,2024,9,2022,-,Right,4,4,3,-,-,-,-,High,Low
Jordi Alba,Jordi Alba Ramos,85,85,28000000,LB,LB,Spain,https://cdn.sofifa.net/players/189/332/23_60.png,33,170,68,2218,465,FC Barcelona,190000,57400000,LB,2024,18,2012,-,Left,3,3,3,Spain,https://cdn.sofifa.net/flags/es.png,LB,18,High,Medium
Sergio Busquets,Sergio Busquets Burgos,85,85,26500000,CDM,CDM,Spain,https://cdn.sofifa.net/players/189/511/23_60.png,33,189,76,2002,417,FC Barcelona,190000,54300000,CDM,2023,5,2008,-,Right,3,3,4,Spain,https://cdn.sofifa.net/flags/es.png,CDM,5,Medium,Medium
Iago Aspas,Iago Aspas Juncal,85,85,26000000,ST,ST,Spain,https://cdn.sofifa.net/players/192/629/23_60.png,34,176,67,2069,430,RC Celta de Vigo,50000,54600000,ST,2025,10,2015,-,Left,4,3,2,-,https://cdn.sofifa.net/flags/es.png,-,-,High,High
P. Pogba,Paul Pogba,85,85,52500000,"CM,CDM,LM",CM,France,https://cdn.sofifa.net/players/195/864/23_60.png,29,191,84,2170,459,Juventus,165000,89300000,SUB,2026,10,2022,-,Right,4,5,4,France,https://cdn.sofifa.net/flags/fr.png,CDM,6,Medium,Low
M. Depay,Memphis Depay,85,85,55000000,"CF,ST,LW",CF,Netherlands,https://cdn.sofifa.net/players/202/556/23_60.png,28,176,78,2089,444,FC Barcelona,230000,112800000,SUB,2023,14,2021,-,Right,3,5,4,Netherlands,https://cdn.sofifa.net/flags/nl.png,ST,10,High,Low
Jorginho,Luiz Frello Filho Jorge,85,85,51500000,CM,CM,Italy,https://cdn.sofifa.net/players/205/498/23_60.png,30,180,68,2128,434,Chelsea,165000,95300000,CM,2023,5,2018,-,Right,3,3,2,Italy,https://cdn.sofifa.net/flags/it.png,CM,8,Medium,Medium
M. Acuña,Marcos Acuña,85,85,46500000,LB,LB,Argentina,https://cdn.sofifa.net/players/224/334/23_60.png,30,172,69,2303,483,Sevilla FC,46000,97700000,LB,2024,19,2020,-,Left,3,3,2,Argentina,https://cdn.sofifa.net/flags/ar.png,LB,8,High,High
Gerard Moreno,Gerard Moreno Balagueró,85,85,53000000,ST,ST,Spain,https://cdn.sofifa.net/players/208/093/23_60.png,30,180,77,2109,442,Villarreal CF,64000,111300000,ST,2027,7,2018,-,Left,4,3,2,Spain,https://cdn.sofifa.net/flags/es.png,SUB,9,High,Medium
Y. Carrasco,Yannick Carrasco,85,85,54500000,LM,LM,Belgium,https://cdn.sofifa.net/players/208/418/23_60.png,28,181,73,2153,458,Atlético de Madrid,90000,111700000,LM,2024,21,2020,-,Right,4,4,3,Belgium,https://cdn.sofifa.net/flags/be.png,LM,11,High,High
F. Kostić,Filip Kostić,85,85,53000000,"LM,LWB",LM,Serbia,https://cdn.sofifa.net/players/208/574/23_60.png,29,184,84,2234,474,Juventus,165000,90100000,LW,2026,17,2022,-,Left,2,3,3,-,-,-,-,High,High
J. Vardy,Jamie Vardy,85,85,23000000,ST,ST,England,https://cdn.sofifa.net/players/208/830/23_60.png,35,179,74,2118,441,Leicester City,110000,43700000,ST,2024,9,2012,-,Right,4,3,3,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium
Pedri,Pedro González López,85,93,116000000,CM,CM,Spain,https://cdn.sofifa.net/players/251/854/23_60.png,19,174,61,2109,455,FC Barcelona,115000,261000000,CM,2026,8,2020,-,Right,4,4,2,Spain,https://cdn.sofifa.net/flags/es.png,CM,10,High,High
P. Foden,Phil Foden,85,92,109500000,"LW,CF,CAM",CAM,England,https://cdn.sofifa.net/players/237/692/23_60.png,22,171,69,2083,445,Manchester City,180000,224500000,LW,2024,47,2016,-,Left,3,4,3,England,https://cdn.sofifa.net/flags/gb-eng.png,RW,20,High,High
M. de Ligt,Matthijs de Ligt,85,89,71000000,CB,CB,Netherlands,https://cdn.sofifa.net/players/235/243/23_60.png,22,189,89,1982,435,FC Bayern München,77000,122500000,CB,2027,4,2022,-,Right,3,2,3,Netherlands,https://cdn.sofifa.net/flags/nl.png,CB,3,Medium,High
P. Schick,Patrik Schick,85,87,67500000,ST,ST,Czech Republic,https://cdn.sofifa.net/players/234/236/23_60.png,26,191,86,1999,427,Bayer 04 Leverkusen,95000,119800000,ST,2027,14,2020,-,Left,3,4,3,Czech Republic,https://cdn.sofifa.net/flags/cz.png,SUB,6,High,Medium
T. Hernández,Theo Hernández,85,90,76000000,LB,LWB,France,https://cdn.sofifa.net/players/232/656/23_60.png,24,184,81,2195,483,AC Milan,82000,134900000,LB,2026,19,2019,-,Left,3,3,3,France,https://cdn.sofifa.net/flags/fr.png,SUB,22,High,Medium
Diogo Jota,Diogo José Teixeira da Silva,85,89,76000000,"CF,LW",ST,Portugal,https://cdn.sofifa.net/players/224/458/23_60.png,25,178,73,2183,462,Liverpool,170000,146300000,SUB,2025,20,2020,-,Right,5,4,2,Portugal,https://cdn.sofifa.net/flags/pt.png,LW,19,High,High
P. Gulácsi,Péter Gulácsi,85,85,26500000,GK,GK,Hungary,https://cdn.sofifa.net/players/185/122/23_60.png,32,191,86,1305,456,RB Leipzig,65000,45100000,GK,2025,1,2015,-,Right,2,1,3,Hungary,https://cdn.sofifa.net/flags/hu.png,GK,1,Medium,Medium
Y. Sommer,Yann Sommer,85,85,17500000,GK,GK,Switzerland,https://cdn.sofifa.net/players/177/683/23_60.png,33,183,79,1356,467,Borussia Mönchengladbach,40000,29800000,GK,2023,1,2014,-,Right,4,1,3,-,https://cdn.sofifa.net/flags/ch.png,-,-,Medium,Medium
M. Reus,Marco Reus,85,85,33500000,"CAM,CF,RM",CAM,Germany,https://cdn.sofifa.net/players/188/350/23_60.png,33,180,71,2154,441,Borussia Dortmund,78000,57000000,CAM,2023,11,2012,-,Right,4,4,4,Germany,https://cdn.sofifa.net/flags/de.png,SUB,11,High,Medium
L. Hernández,Lucas Hernández,84,86,46000000,"CB,LB",CB,France,https://cdn.sofifa.net/players/220/814/23_60.png,26,184,79,2014,436,FC Bayern München,82000,79400000,SUB,2024,21,2019,-,Left,2,2,3,France,https://cdn.sofifa.net/flags/fr.png,CB,21,Medium,Medium
Sergio Ramos,Sergio Ramos García,84,84,7500000,CB,CB,Spain,https://cdn.sofifa.net/players/155/862/23_60.png,36,184,82,2137,433,Paris Saint-Germain,75000,13900000,CB,2023,4,2021,-,Right,3,3,4,Spain,https://cdn.sofifa.net/flags/es.png,SUB,4,High,Medium
A. Gómez,Alejandro Gómez,84,84,20000000,"CAM,LW",CAM,Argentina,https://cdn.sofifa.net/players/143/076/23_60.png,34,167,68,2035,425,Sevilla FC,47000,42000000,LW,2024,24,2021,-,Right,4,4,3,Argentina,https://cdn.sofifa.net/flags/ar.png,SUB,17,High,Medium
